"itemImage","trialType","responseTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","imgStartle","ISIStartle","initTime","basicAccuracy",
"Animals/bird 10.jpg",1,5809.1009,1,2,1,1,"3",1,0,0,0,5803.9047,5807.9299,5806.6584,0,,,
"Animals/cow 1 copy.jpg",1,5825.0288,1,1,1,1,"3",1,0,0,0,5819.5064,5823.5316,5822.2603,0,,,
"Animals/horn animal 5.jpg",1,5839.3487,1,3,1,1,"2",1,0,0,0,5835.0918,5839.1166,5837.8457,0,,,
"Animals/parrot.jpg",1,5856.0845,1,2,1,1,"3",1,0,0,0,5850.693,5854.7183,5853.4468,0,,,
"Animals/crab 2.jpg",2,5871.5564,2,3,1,0,"-1",0,0,1,0,5866.2781,5870.2866,0,0,,,
"Animals/seal 2.jpg",2,5888.0682,1,2,1,0,"-1",0,1,0,0,5881.8465,5885.8553,0,0,,,
"Animals/hippo 1.jpg",1,5903.852,2,1,1,1,"2",0,0,0,1,5897.4315,5901.4567,5900.1851,0,,,
"Animals/centipede 2.jpg",2,5918.2759,2,2,1,0,"-1",0,0,1,0,5913.0165,5917.0251,0,0,,,
"Animals/snail 1.jpg",1,5932.8438,1,2,1,1,"3",1,0,0,0,5928.6015,5932.6101,0,5938.3749,,,

