"itemImage","trialType","responseTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","imgStartle","ISIStartle","initTime","basicAccuracy",
"Animals/big eye 2.jpg",1,5169.491,1,3,1,1,"2",1,0,0,0,5165.1178,5169.143,0,0,5164.9971,0.74,
"Animals/porcuppine 1.jpg",2,5185.0428,1,1,1,0,"-1",0,1,0,0,5180.7029,5184.7114,0,5190.4815,,,
"Animals/beaver 1.jpg",2,5200.6987,1,2,1,0,"-1",0,1,0,0,5196.3046,5200.3131,0,0,,,
"Animals/frog 1.jpg",1,5216.1945,1,2,1,1,"3",1,0,0,0,5211.8729,5215.8981,0,5221.6629,,,
"Animals/tiger 2.jpg",2,5232.7224,1,1,1,0,"-1",0,1,0,0,5227.458,5231.4669,0,0,,,
"Animals/bird 14.jpg",2,5248.0982,1,1,1,0,"-1",0,1,0,0,5243.0264,5247.0516,5245.7802,0,,,
"Animals/scorpion 1.jpg",2,5263.5221,1,1,1,0,"-1",0,1,0,0,5258.6114,5262.62,0,0,,,
"Animals/lizard 5.jpg",2,5278.538,2,1,1,0,"-1",0,0,1,0,5274.2131,5278.2383,5276.9668,0,,,
"Animals/crocodile 1.jpg",1,5295.7778,1,1,1,1,"2",1,0,0,0,5289.7815,5293.8067,5292.5352,0,,,
"Animals/bird 15.jpg",2,5311.6176,1,2,1,0,"-1",0,1,0,0,5305.3665,5309.3751,0,0,,,
"Animals/furry animal 1.jpg",2,5325.6335,2,2,1,0,"-1",0,0,1,0,5320.9183,5324.9268,0,0,,,
"Animals/Chrysaora_Colorata.JPG",2,5342.5694,2,3,1,0,"-1",0,0,1,0,5336.4867,5340.5121,5339.2405,0,,,
"Animals/lamb1.jpg",2,5356.4172,2,1,1,0,"-1",0,0,1,0,5352.0551,5356.0636,0,0,,,
"Animals/dolphin 1.jpg",2,5373.3371,1,3,1,0,"-1",0,1,0,0,5367.6235,5371.632,0,5377.3968,,,
"Animals/horn animal 1.jpg",2,5388.4889,2,1,1,0,"-1",0,0,1,0,5383.1919,5387.2171,5385.9455,0,,,
"Animals/sea animal 2.jpg",1,5404.1528,1,3,1,1,"2",1,0,0,0,5398.7603,5402.7688,0,0,,,
"Animals/cheetah 1.jpg",1,5419.9526,1,3,1,1,"2",1,0,0,0,5414.3288,5418.3372,0,0,,,
"Animals/lion 3.jpg",1,5435.3365,1,2,1,1,"2",1,0,0,0,5429.8971,5433.9223,5432.6507,0,,,
"Animals/skunk 1.jpg",1,5451.1123,1,3,1,1,"2",1,0,0,0,5445.4821,5449.4907,0,5455.2555,,,
"Animals/sciku-blowfish (edited).jpg",1,5465.6722,1,3,1,1,"2",1,0,0,0,5461.0839,5465.109,0,0,,,
"Animals/gorilla 2.jpg",2,5481.888,2,3,1,0,"-1",0,0,1,0,5476.6522,5480.6774,5479.4074,0,,,
"Animals/rat 1.jpg",1,5496.5519,1,3,1,1,"2",1,0,0,0,5492.2372,5496.2458,0,0,,,
"Animals/pig 2.jpg",2,5513.3997,2,1,1,0,"-1",0,0,1,0,5507.8223,5511.8475,5510.5766,0,,,
"Animals/yellow animal 1.jpg",1,5529.1036,1,1,1,1,"1",1,0,0,0,5523.4073,5527.4158,0,0,,,
"Animals/lobster 1.jpg",1,5545.1755,1,3,1,1,"3",1,0,0,0,5538.9757,5542.9843,0,0,,,
"Animals/horse 1.jpg",1,5558.9433,1,2,1,1,"2",1,0,0,0,5554.594,5558.6026,0,0,,,
"Animals/Porcupine.jpg",1,5575.6552,1,1,1,1,"1",1,0,0,0,5570.1624,5574.171,0,0,,,
"Animals/bird 13.jpg",2,5591.279,2,1,1,0,"-1",0,0,1,0,5585.7475,5589.756,0,0,,,
"Animals/peacock.jpg",2,5607.5028,2,1,1,0,"-1",0,0,1,0,5601.2992,5605.3078,0,0,,,
"Animals/caterpillar 1.jpg",1,5621.8627,1,3,1,1,"1",1,0,0,0,5616.8842,5620.8928,0,5626.6575,,,
"Animals/dog 9.jpg",2,5638.0226,2,2,1,0,"-1",0,0,1,0,5632.4861,5636.5111,0,0,,,
"Animals/bug 4.jpg",2,5652.8305,2,2,1,0,"-1",0,0,1,0,5648.0709,5652.0962,5650.8248,0,,,
"Animals/tiger 5.jpg",2,5669.9343,2,3,1,0,"-1",0,0,1,0,5663.656,5667.6649,0,0,,,
"Animals/opposum.jpg",2,5684.2301,1,1,1,0,"-1",0,1,0,0,5679.2411,5683.2662,5681.9918,0,,,
"Animals/mouse 1.jpg",2,5699.854,1,1,1,0,"-1",0,1,0,0,5694.8427,5698.8512,0,0,,,
"Animals/dog 1.jpg",1,5715.8778,1,3,1,1,"3",1,0,0,0,5710.4111,5714.4196,0,0,,,
"Animals/bird 18.jpg",1,NaN,-1,0,1,1,"1",0,0,0,0,5725.9961,5730.0047,0,0,,,
"Animals/cow 1.jpg",1,5747.5975,2,2,1,1,"3",0,0,0,1,5741.5645,5745.5898,5744.3184,5751.355,,,
"Animals/elephant 1.jpg",1,5761.6934,1,3,1,1,"3",1,0,0,0,5757.1495,5761.1585,0,5766.923,,,
"Animals/pillbug.jpg",2,5777.4772,2,1,1,0,"-1",0,0,1,0,5772.7512,5776.7602,0,0,,,
"Animals/bear 4.jpg",1,5792.5411,1,2,1,1,"2",1,0,0,0,5788.3196,5792.3286,0,0,,,
