"itemImage","trialType","keypressTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","initTime","basicAccuracy",
"Animals/deer 1.jpg",1,19321.9858,1,2,1,1,"1",1,0,0,0,19319.2229,19321.2354,19319.1482,0.86,
"Animals/lizard 3.jpg",2,19324.9778,2,2,1,0,"-1",0,0,1,0,19323.0484,19325.0609,,,
"Animals/kitten 1.jpg",2,19328.1617,2,2,1,0,"-1",0,0,1,0,19326.1254,19328.138,,,
"Animals/ostrich 2.jpg",1,19330.4577,1,3,1,1,"2",1,0,0,0,19329.2029,19331.2151,,,
"Animals/bunny 2.jpg",2,19334.4736,1,1,1,0,"-1",0,1,0,0,19332.2796,19334.2921,,,
"Animals/walrus 2.jpg",2,19337.5215,1,1,1,0,"-1",0,1,0,0,19335.523,19337.5355,,,
"Animals/goat1.jpg",1,19340.1215,1,1,1,1,"2",1,0,0,0,19338.6,19340.6125,,,
"Animals/boxfish.JPG",2,19342.9854,2,3,1,0,"-1",0,0,1,0,19341.677,19343.6896,,,
"Animals/kiwi 1.jpg",1,19346.2894,1,3,1,1,"1",1,0,0,0,19344.7375,19346.75,,,
"Animals/fox 2.jpg",1,19348.8013,1,3,1,1,"1",1,0,0,0,19347.7979,19349.8105,,,
"Animals/eel.jpg",1,19351.7772,1,3,1,1,"1",1,0,0,0,19350.8583,19352.8709,,,
"Animals/bug 10.jpg",2,19355.6651,2,2,1,0,"-1",0,0,1,0,19353.9354,19355.9479,,,
"Animals/bird 7.jpg",2,19358.6251,1,1,1,0,"-1",0,1,0,0,19357.0124,19359.025,,,
"Animals/squid.jpg",2,19361.577,2,2,1,0,"-1",0,0,1,0,19360.1061,19362.1187,,,
"Animals/llama 1.jpg",1,19364.489,1,3,1,1,"2",1,0,0,0,19363.167,19365.1791,,,
"Animals/zebra 1.jpg",1,19367.1049,1,3,1,1,"2",1,0,0,0,19366.2436,19368.2562,,,
"Animals/sting rsy.jpg",1,19370.1049,1,3,1,1,"2",1,0,0,0,19369.304,19371.3166,,,
"Animals/groundhog 1.jpg",2,19373.9369,2,1,1,0,"-1",0,0,1,0,19372.3811,19374.3937,,,
"Animals/horn animal 12.jpg",1,19376.5528,1,3,1,1,"2",1,0,0,0,19375.4581,19377.4707,,,
"Animals/bug 8.jpg",2,19380.1127,2,2,1,0,"-1",0,0,1,0,19378.5352,19380.5478,,,
"Animals/shrimp 1.jpg",2,19382.7447,2,3,1,0,"-1",0,0,1,0,19381.6289,19383.6415,,,
"Animals/dog 7.jpg",2,19385.5446,2,3,1,0,"-1",0,0,1,0,19384.706,19386.7185,,,
"Animals/squirrel 4.jpg",1,19389.4485,1,2,1,1,"1",1,0,0,0,19387.783,19389.7956,,,
