"itemImage","trialType","keypressTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","initTime","basicAccuracy",
"Animals/shark 2.jpg",1,19391.6964,1,3,1,1,"3",1,0,0,0,19390.8601,19392.8727,,,
"Animals/hamster 1.jpg",1,19395.8964,1,1,1,1,"2",1,0,0,0,19393.9371,19395.9497,,,
"Animals/koala1.jpg",2,19398.2644,2,3,1,0,"-1",0,0,1,0,19397.0142,19399.0268,,,
"Animals/dog 3.jpg",1,19401.2163,1,3,1,1,"3",1,0,0,0,19400.0912,19402.1038,,,
"Animals/chinchilla 1.jpg",2,19404.2802,2,2,1,0,"-1",0,0,1,0,19403.1849,19405.1975,,,
"Animals/dog 2.jpg",2,19407.2882,2,3,1,0,"-1",0,0,1,0,19406.2786,19408.2912,,,
"Animals/centipede 1.jpg",1,19410.5521,1,3,1,1,"1",1,0,0,0,19409.3557,19411.3682,,,
"Animals/butterfly 2.jpg",1,19413.2,1,3,1,1,"3",1,0,0,0,19412.4161,19414.4287,,,
"Animals/frog 2.jpg",2,19416.44,2,3,1,0,"-1",0,0,1,0,19415.4932,19417.5057,,,
"Animals/praying mantis.jpg",2,19419.768,1,3,1,0,"-1",0,1,0,0,19418.5702,19420.5828,,,
"Animals/bird 30.jpg",1,19422.5759,1,3,1,1,"2",1,0,0,0,19421.6473,19423.6598,,,
"Animals/weirdanimal1.jpg",2,19425.6238,2,3,1,0,"-1",0,0,1,0,19424.741,19426.7535,,,
"Animals/dolphin 2.jpg",2,19429.0957,2,2,1,0,"-1",0,0,1,0,19427.818,19429.8306,,,
"Animals/deer 2.jpg",2,19432.2317,2,2,1,0,"-1",0,0,1,0,19430.9117,19432.9243,,,
"Animals/dog 6.jpg",1,19435.1757,1,3,1,1,"3",1,0,0,0,19433.9888,19436.0013,,,
"Animals/fish 3.jpg",1,19438.0956,1,3,1,1,"3",1,0,0,0,19437.0658,19439.0784,,,
"Animals/ground sloth 1.jpg",1,19442.3915,1,1,1,1,"1",1,0,0,0,19440.1429,19442.1555,,,
"Animals/armadillo 2.jpg",2,19445.6474,2,1,1,0,"-1",0,0,1,0,19443.4528,19445.4654,,,
"Animals/turtle 3.jpg",2,19447.8474,2,2,1,0,"-1",0,0,1,0,19446.6962,19448.7088,,,
"Animals/shark 1.jpg",1,19451.6473,2,1,1,1,"2",0,0,0,1,19449.7566,19451.7692,,,
"Animals/weirdanimal 4.jpg",2,19454.1912,2,2,1,0,"-1",0,0,1,0,19452.8337,19454.8462,,,
"Animals/horse 2.jpg",2,19457.1672,2,3,1,0,"-1",0,0,1,0,19455.9274,19457.9399,,,
"Animals/bug 1.jpg",1,19460.0072,1,3,1,1,"3",1,0,0,0,19458.9878,19461.0003,,,
"Animals/narwal.jpg",1,19463.1911,2,1,1,1,"1",0,0,0,1,19462.0482,19464.0608,,,
"Animals/goat.jpg",1,19466.911,2,1,1,1,"3",0,0,0,1,19465.1253,19467.1378,,,
"Animals/big reptile 1.jpg",2,19469.375,2,2,1,0,"-1",0,0,1,0,19468.2023,19470.2149,,,
"Animals/bug 13.jpg",1,19472.5989,1,3,1,1,"1",1,0,0,0,19471.2794,19473.2919,,,

