"itemImage","trialType","responseTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","imgStartle","ISIStartle","initTime","basicAccuracy",
"Tools/stopper 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3270.7295,3274.7547,0,0,3270.6468,0.44,
"Tools/hand mixer 1.jpg",2,3292.8687,2,1,2,0,"-1",0,0,1,0,3286.3145,3290.3565,3289.074,0,,,
"Tools/knife 1.jpg",2,3306.2126,2,1,2,0,"-1",0,0,1,0,3301.9328,3305.958,0,0,,,
"Tools/gardening 1.jpg",1,NaN,-1,0,2,2,"1",0,0,0,0,3317.5345,3321.5597,0,3327.3254,,,
"Tools/umbrella 1.jpg",2,3337.4283,2,1,2,0,"-1",0,0,1,0,3333.1196,3337.1448,3335.8742,3342.9055,,,
"Tools/cane 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3348.7212,3352.7465,3351.4762,0,,,
"Tools/ethernet cable 1.jpg",2,3368.788,1,1,2,0,"-1",0,1,0,0,3364.3063,3368.3314,0,0,,,
"Tools/cutter 1.jpg",1,3386.1478,2,2,2,2,"1",0,0,0,1,3379.8913,3383.9165,0,0,,,
"Tools/compressor 2.jpg",2,3400.9397,2,3,2,0,"-1",0,0,1,0,3395.493,3399.5182,0,0,,,
"Tools/thumb tack 1.jpg",2,3416.5396,1,1,2,0,"-1",0,1,0,0,3411.078,3415.0868,0,0,,,
"Tools/voltage measurement 1.jpg",1,3432.1474,1,3,2,2,"1",1,0,0,0,3426.663,3430.6716,0,0,,,
"Tools/spiky nut1.jpg",2,3447.4993,1,1,2,0,"-1",0,1,0,0,3442.248,3446.2733,0,0,,,
"Tools/rake 1.jpg",1,3464.2431,1,3,2,2,"2",1,0,0,0,3457.8331,3461.8416,0,0,,,
"Tools/planner 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3473.4181,3477.4271,0,3483.1914,,,
"Tools/rake 1 copy.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3489.0031,3493.0283,0,0,,,
"Tools/juicer 2.jpg",1,3511.3466,2,1,2,2,"1",0,0,0,1,3504.6048,3508.6301,3507.3586,0,,,
"Tools/gloves 1.jpg",1,NaN,-1,0,2,2,"3",0,0,0,0,3520.1898,3524.1988,0,0,,,
"Tools/chopsticks 1.jpg",1,3542.1224,2,1,2,2,"3",0,0,0,1,3535.8082,3539.8171,0,0,,,
"Tools/cutter 2.jpg",2,3556.6262,1,1,2,0,"-1",0,1,0,0,3551.3766,3555.4018,3554.1303,0,,,
"Tools/paper cutter 1.jpg",1,3572.2981,1,3,2,2,"2",1,0,0,0,3566.9782,3571.0035,3569.7325,0,,,
"Tools/expresso machine 1.jpg",1,3587.826,1,3,2,2,"1",1,0,0,0,3582.5637,3586.5884,0,0,,,
"Tools/water pitcher 1 D.jpg",2,3603.0738,1,1,2,0,"-1",0,1,0,0,3598.1483,3602.1572,0,0,,,
"Tools/charger 1.jpg",1,3618.1376,2,1,2,2,"1",0,0,0,1,3613.7167,3617.7419,3616.4706,0,,,
"Tools/fixing 3.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3629.3184,3633.3269,0,0,,,
"Tools/spoons 1.jpg",2,3650.3933,1,1,2,0,"-1",0,1,0,0,3644.8868,3648.912,3647.6406,0,,,
"Tools/binoculars 1.jpg",1,NaN,-1,0,2,2,"2",0,0,0,0,3660.4718,3664.4807,0,0,,,
"Tools/hand blender 1.jpg",2,3682.657,2,1,2,0,"-1",0,0,1,0,3676.0569,3680.0821,3678.8073,0,,,
"Tools/fan 2.jpg",2,3697.7849,2,1,2,0,"-1",0,0,1,0,3691.6419,3695.6508,0,0,,,
"Tools/lawnmower 1.jpg",1,3711.5928,1,1,2,2,"1",1,0,0,0,3707.2103,3711.2192,0,0,,,
"Tools/stove 1.jpg",2,3729.1126,1,3,2,0,"-1",0,1,0,0,3722.7786,3726.8038,0,0,,,
"Tools/pressure gauge 1.jpg",1,3744.4165,1,1,2,2,"3",1,0,0,0,3738.3641,3742.3889,0,0,,,
"Tools/deep fryer 1.jpg",1,3758.3283,1,3,2,2,"2",1,0,0,0,3753.9487,3757.974,3756.7027,0,,,
"Tools/tape 3.jpg",1,3774.9042,1,1,2,2,"2",1,0,0,0,3769.5338,3773.5426,0,0,,,
"Tools/screw driver 2.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3785.1022,3789.1107,0,0,,,
"Tools/tool pouch 1.jpg",2,3805.8479,1,2,2,0,"-1",0,1,0,0,3800.6706,3804.6958,3803.4245,0,,,
"Tools/drill 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3816.2556,3820.2645,0,0,,,
"Tools/pan 2.jpg",1,3836.7116,1,2,2,2,"2",1,0,0,0,3831.8241,3835.8326,0,0,,,
"Tools/pot 2.jpg",1,3852.9114,1,3,2,2,"3",1,0,0,0,3847.3924,3851.4176,3850.1464,3857.1825,,,
"Tools/fondue set 1.jpg",1,3868.6553,2,1,2,2,"3",0,0,0,1,3862.9774,3867.0027,0,0,,,
"Tools/fixing 1.jpg",1,3883.9272,1,1,2,2,"2",1,0,0,0,3878.5625,3882.5714,0,3888.336,,,
