"itemImage","trialType","responseTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","imgStartle","ISIStartle","initTime","basicAccuracy",
"Tools/shredder 1.jpg",1,3900.471,1,2,2,2,"2",1,0,0,0,3894.2307,3898.2559,0,0,,,
"Tools/wisk 1.jpg",1,3914.6949,1,2,2,2,"2",1,0,0,0,3909.8158,3913.841,3912.5697,3919.606,,,
"Tools/cotton swabs 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3925.4175,3929.4426,0,3935.2081,,,
"Tools/grill 1 (2).jpg",1,NaN,-1,0,2,2,"1",0,0,0,0,3941.0025,3945.0276,0,0,,,
"Tools/scissors 2.jpg",1,3963.3824,-1,0,2,2,"3",0,0,0,0,3956.5877,3960.6127,3959.3418,0,,,
"Tools/crowbar 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3972.1725,3976.1813,0,0,,,
"Tools/watch 1.jpg",2,3993.3501,2,3,2,0,"-1",0,0,1,0,3987.7575,3991.7661,0,3997.5309,,,
"Tools/deep fryer 2.jpg",1,4008.27,2,1,2,2,"2",0,0,0,1,4003.376,4007.401,0,0,,,
"Tools/screw1.jpg",1,4024.4538,1,3,2,2,"2",1,0,0,0,4018.9608,4022.9861,4021.7147,0,,,
"Tools/compressor tool 1.jpg",2,4039.7737,2,2,2,0,"-1",0,0,1,0,4034.5625,4038.5877,4037.3164,0,,,

