"keyname","fname","keypressTime","initTime",
"1","Animals/horn animal 15.jpg",18254.9825,18252.4809,
"2","Animals/bear 3.jpg",18257.6704,,
"2","Animals/chameleon 2.jpg",18260.6704,,
"2","Animals/tapir.jpg",18263.5983,,
"1","Animals/bug 14.jpg",18266.1343,,
"2","Animals/zebra 1.jpg",18269.3662,,
"1","Animals/lizard 2.jpg",18271.9742,,
"2","Animals/dscn5326.jpg",18275.7181,,
"3","Animals/goat.jpg",18278.726,,
"2","Animals/bear 4.jpg",18281.046,,
"2","Animals/hippo 1.jpg",18284.1179,,
"3","Animals/dog 1.jpg",18286.7659,,
"2","Animals/platypus 1.jpg",18289.7178,,
"2","Animals/cobra 1.jpg",18292.6378,,
"2","Animals/panda 1.jpg",18295.6857,,
"1","Animals/armadillo 1.jpg",18298.6377,,
"2","Animals/bird 19.jpg",18301.8616,,
"2","Animals/crocodile 1.jpg",18304.7016,,
"3","Animals/ferret 2.jpg",18307.4535,,
"3","Animals/butterfly 2.jpg",18310.3574,,
"2","Animals/bat 2.jpg",18313.4373,,
"2","Animals/horn animal 5.jpg",18316.1333,,
"2","Animals/horn animal 4.jpg",18319.6532,,
"2","Animals/bird 2.jpg",18322.1892,,
"1","Animals/Porcupine.jpg",18325.1652,,
"1","Animals/centipede 1.jpg",18328.4851,,
"3","Animals/snail 1.jpg",18331.309,,
"2","Animals/flamingo.jpg",18334.077,,
"3","Animals/bug 6.jpg",18337.0769,,
"3","Animals/shark 2.jpg",18339.8209,,
"3","Animals/bug 1.jpg",18343.2048,,
"3","Animals/fish 3.jpg",18346.5327,,
"2","Animals/bird 5.jpg",18349.2127,,
"1","Animals/bird 33.jpg",18352.2686,,
"2","Animals/mosquito.jpg",18355.0926,,
"1","Animals/yellow animal 1.jpg",18357.9005,,
"1","Animals/bug 7.jpg",18361.1804,,
"2","Animals/llama 1.jpg",18364.0924,,
"3","Animals/bird 12.jpg",18366.8523,,
"3","Animals/cow 1 copy.jpg",18369.4603,,
"1","Animals/ferret 1.jpg",18372.8362,,
"2","Animals/sheep 1.jpg",18375.4842,,
"2","Animals/sea animal 2.jpg",18378.8201,,
"3","Animals/cow 1.jpg",18381.5881,,
"1","Animals/bug 13.jpg",18384.476,,
"1","Animals/lizard 1.jpg",18387.308,,
"3","Animals/lobster 1.jpg",18390.6519,,
"3","Animals/parrot.jpg",18393.1958,,
"NR","Animals/horn animal 10.jpg",NaN,,
"2","Animals/frog 3.jpg",18400.0917,,
"2","Animals/hamster 1.jpg",18402.9556,,
"3","Animals/cat 3.jpg",18405.6996,,
"3","Animals/bird 10.jpg",18408.2836,,
"2","Animals/giraffe 1.jpg",18411.0435,,
"2","Animals/Red_milk_snake.JPG",18413.8194,,
"1","Animals/Sea Slug 1.jpg",18416.8834,,
"2","Animals/bird 20.jpg",18420.0833,,
"1","Animals/squirrel 4.jpg",18423.2512,,
"2","Animals/cheetah 1.jpg",18425.8672,,
"2","Animals/whale.jpg",18429.1631,,
"3","Animals/dog 6.jpg",18432.3151,,
"2","Animals/skunk 1.jpg",18435.059,,
"2","Animals/sting rsy.jpg",18437.923,,
"3","Animals/fish 1.jpg",18440.9229,,
"3","Animals/dog 3.jpg",18443.6429,,
"2","Animals/bear 2.jpg",18447.3948,,
"3","Animals/frog 1.jpg",18450.4827,,
"2","Animals/chameleon 1.jpg",18453.1387,,
"2","Animals/shark 1.jpg",18455.5306,,
"2","Animals/goat1.jpg",18459.0585,,
"1","Animals/leech.JPG",18461.8265,,
"2","Animals/horse 1.jpg",18465.0264,,
"2","Animals/camel 1.jpg",18467.2904,,
"2","Animals/bird 30.jpg",18470.2423,,
"2","Animals/ostrich 2.jpg",18472.9783,,
"2","Animals/seahorse  2.jpg",18476.0822,,
"2","Animals/bird 6.jpg",18479.0182,,
"2","Animals/bear 1.jpg",18482.0181,,
"2","Animals/rat 1.jpg",18485.3221,,
"1","Animals/caterpillar 1.jpg",18488.29,,
"2","Animals/horn animal 12.jpg",18491.1059,,
"2","Animals/earthworm.jpg",18494.4579,,
"1","Animals/eel.jpg",18497.6818,,
"2","Animals/furry animal 2.jpg",18500.5537,,
"2","Animals/seal 1.jpg",18503.2177,,
"1","Animals/bird 18.jpg",18506.4256,,
"2","Animals/lion 3.jpg",18508.8176,,
"1","Animals/penguin 1.jpg",18512.1775,,
"2","Animals/big eye 2.jpg",18515.1535,,
"1","Animals/fox 2.jpg",18518.1054,,
"1","Animals/narwal.jpg",18520.7854,,
"3","Animals/black widow spider.jpg",18524.2173,,
"2","Animals/lion 2.jpg",18526.6253,,
"1","Animals/kiwi 1.jpg",18529.7292,,
"2","Animals/lizard 4.jpg",18532.8651,,
"3","Animals/elephant 1.jpg",18535.929,,
"3","Animals/bird 22.jpg",18538.609,,
"2","Animals/camel1.jpg",18541.7929,,
"1","Animals/ground sloth 1.jpg",18544.9289,,
"2","Animals/octopus.jpg",18547.6808,,
"2","Animals/sciku-blowfish (edited).jpg",18550.6408,,
"3","Animals/cat 2.jpg",18553.6807,,
"2","Animals/horn animal 8.jpg",18556.8486,,
"1","Animals/deer 1.jpg",18559.5686,,
"1","Animals/javil.jpg",18562.3765,,
"2","Animals/sea animal 1.jpg",18565.7205,,
"2","Animals/bunny 1.jpg",18568.8724,,
"2","Animals/bird 29.jpg",18571.3684,,

