"itemImage","trialType","responseTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","imgStartle","ISIStartle","initTime","basicAccuracy",
"Tools/fan 3.jpg",1,4216.028,1,2,2,2,"3",1,0,0,0,4211.5366,4215.5618,0,0,4211.4056,0.74,
"Tools/quesadilla maker 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,4227.1217,4231.1469,0,0,,,
"Tools/mop 2.jpg",2,4247.2117,2,1,2,0,"-1",0,0,1,0,4242.7233,4246.7485,0,0,,,
"Tools/power cable 1.jpg",1,NaN,-1,0,2,2,"1",0,0,0,0,4258.325,4262.3339,0,0,,,
"Tools/smoke detector 1.jpg",1,4278.9954,1,1,2,2,"2",1,0,0,0,4273.8935,4277.902,0,0,,,
"Tools/shovel 2.jpg",1,4293.9393,1,3,2,2,"1",1,0,0,0,4289.4618,4293.4708,0,4299.2403,,,
"Tools/flashlight 2.jpg",1,4309.4591,1,3,2,2,"2",1,0,0,0,4305.0468,4309.0558,0,4314.8205,,,
"Tools/light bulb 1.jpg",2,4325.011,1,3,2,0,"-1",0,1,0,0,4320.6485,4324.6574,0,0,,,
"Tools/saw 1.jpg",2,4340.9549,2,1,2,0,"-1",0,0,1,0,4336.2169,4340.2421,4338.9708,0,,,
"Tools/keys 1.jpg",1,NaN,-1,0,2,2,"3",0,0,0,0,4351.8186,4355.8438,4354.5723,0,,,
"Tools/mic 2.jpg",2,4371.8186,1,2,2,0,"-1",0,1,0,0,4367.4369,4371.4621,4370.1908,0,,,
"Tools/spatula 1.jpg",2,4387.7304,2,1,2,0,"-1",0,0,1,0,4383.0219,4387.0472,4385.7757,0,,,
"Tools/washing machine 1.jpg",1,4403.2023,1,2,2,2,"3",1,0,0,0,4398.607,4402.6322,4401.3607,0,,,
"Tools/Sink flange 1.jpg",1,4418.5061,1,3,2,2,"3",1,0,0,0,4414.2086,4418.2176,0,0,,,
"Tools/calculator 3.jpg",1,4434.3859,1,3,2,2,"2",1,0,0,0,4429.777,4433.8023,4432.5308,0,,,
"Tools/wine opener1.jpg",2,4452.0658,2,2,2,0,"-1",0,0,1,0,4445.3787,4449.404,4448.1325,0,,,
"Tools/cork screw 1.jpg",1,4467.5056,2,1,2,2,"1",0,0,0,1,4460.9641,4464.9727,0,0,,,
"Tools/broom 1.jpg",1,4482.0015,1,3,2,2,"2",1,0,0,0,4476.5321,4480.5407,0,4486.3057,,,
"Tools/dispenser 1.jpg",2,4497.7773,2,2,2,0,"-1",0,0,1,0,4492.1172,4496.1424,4494.8709,0,,,
"Tools/Lanyard 1.jpg",1,4512.3452,1,1,2,2,"1",1,0,0,0,4507.7022,4511.7274,4510.4559,0,,,
"Tools/fixing 6.jpg",2,4528.481,2,1,2,0,"-1",0,0,1,0,4523.2872,4527.2958,0,0,,,
"Tools/paint roller 1.jpg",1,4543.8009,1,2,2,2,"2",1,0,0,0,4538.8889,4542.8978,0,0,,,
"Tools/waffle maker 1.jpg",2,4559.4807,1,1,2,0,"-1",0,1,0,0,4554.4739,4558.4992,4557.2279,0,,,
