"itemImage","trialType","responseTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","imgStartle","ISIStartle","initTime","basicAccuracy",
"Tools/cutter8.jpg",2,4575.5527,2,1,2,0,"-1",0,0,1,0,4570.0923,4574.1175,4572.8461,0,,,
"Tools/microscope2.jpg",2,4590.7924,1,2,2,0,"-1",0,1,0,0,4585.7438,4589.7523,0,0,,,
"Tools/fork 1.jpg",2,4605.6803,1,2,2,0,"-1",0,1,0,0,4601.3122,4605.3211,0,0,,,
"Tools/wrench2.jpg",2,4621.1282,1,2,2,0,"-1",0,1,0,0,4616.8806,4620.8895,0,0,,,
"Tools/net 1.jpg",1,4636.72,1,2,2,2,"2",1,0,0,0,4632.4656,4636.4746,0,0,,,
"Tools/hanger 1.jpg",1,4652.3359,1,3,2,2,"3",1,0,0,0,4648.034,4652.0593,4650.7879,0,,,
"Tools/fixing 4.jpg",2,4668.0558,2,1,2,0,"-1",0,0,1,0,4663.6191,4667.628,0,0,,,
"Tools/tape 2.jpg",1,4683.4156,1,3,2,2,"2",1,0,0,0,4679.1876,4683.2128,4681.9414,0,,,
"Tools/multi-cooker 1.jpg",1,4699.1275,1,1,2,2,"2",1,0,0,0,4694.7891,4698.7977,0,4704.5625,,,
"Tools/protractor 1.jpg",2,4714.5513,2,1,2,0,"-1",0,0,1,0,4710.3575,4714.3665,0,0,,,
"Tools/hard hat1.jpg",2,4730.8152,2,1,2,0,"-1",0,0,1,0,4725.9426,4729.9511,0,0,,,
"Tools/red chopper 1.jpg",1,4745.855,1,2,2,2,"1",1,0,0,0,4741.511,4745.5195,0,0,,,
"Tools/extinguisher 2.jpg",1,4761.4948,1,3,2,2,"2",1,0,0,0,4757.0793,4761.1046,4759.834,0,,,
"Tools/stamp 1.jpg",2,4777.2787,2,2,2,0,"-1",0,0,1,0,4772.6977,4776.7062,0,0,,,
"Tools/latte frother 1.jpg",2,4793.9345,2,2,2,0,"-1",0,0,1,0,4788.2661,4792.275,0,0,,,
"Tools/hole punche 2.jpg",1,4808.2944,1,3,2,2,"3",1,0,0,0,4803.8349,4807.8597,4806.5852,0,,,
"Tools/duster 2.jpg",2,4824.8063,2,1,2,0,"-1",0,0,1,0,4819.4195,4823.4281,0,0,,,
"Tools/compass 1.jpg",1,4840.1821,2,1,2,2,"1",0,0,0,1,4834.9879,4838.9968,0,0,,,
"Tools/walkie talkie 1.jpg",2,4854.918,2,1,2,0,"-1",0,0,1,0,4850.5563,4854.5649,0,4860.3296,,,
"Tools/Hook 1.jpg",1,4871.4458,1,2,2,2,"1",1,0,0,0,4866.1247,4870.1336,0,4875.8966,,,
"Tools/rice cooker 1.jpg",2,4886.2697,1,3,2,0,"-1",0,1,0,0,4881.7097,4885.735,0,4891.4997,,,
"Tools/pen 1.jpg",2,4902.7656,2,3,2,0,"-1",0,0,1,0,4897.2948,4901.32,4900.0486,0,,,
"Tools/earphones 1.jpg",1,4917.4454,1,3,2,2,"3",1,0,0,0,4912.8798,4916.9051,0,0,,,
"Tools/dust pan 1.jpg",1,4934.0532,1,3,2,2,"2",1,0,0,0,4928.4648,4932.4734,0,0,,,
"Tools/brush 5.jpg",1,4948.9971,1,3,2,2,"2",1,0,0,0,4944.0332,4948.0418,0,4953.8066,,,
"Tools/tape dispenser 1.jpg",2,4964.821,2,1,2,0,"-1",0,0,1,0,4959.6016,4963.6106,0,0,,,
"Tools/box of nails 1.jpg",2,4979.8368,1,2,2,0,"-1",0,1,0,0,4975.17,4979.1786,0,0,,,

